id,name,eu_row_split
c4_4,Wholesale and motor trades,0.644
c4_5,Retail excluding motor trades,0.450
c4_6,Transportation and storage,0.579
c4_7,Accommodation and food service activities,0.200
c4_8,Information and communication,0.512
c4_9,Financial and insurance activities,0.343
c5,Total service imports,0.534
c5_1,Primary and utilities,0.645
c5_10,Real estate activities,0.800
c5_11,"Professional, scientific and technical activities",0.563
c5_12,Administrative and support service activities,0.622
c5_13,Other service industries,0.238
c5_14,Travel-related trade,0.612
c5_2,Manufacturing,0.711
c5_3,Construction,0.691
c5_4,Wholesale and motor trades,0.517
c5_5,Retail excluding motor trades,0.456
c5_6,Transportation and storage,0.584
c5_7,Accommodation and food service activities,0.409
c5_8,Information and communication,0.439
c5_9,Financial and insurance activities,0.324
c6,Total service imports,0.500
c6_1,Primary and utilities,0.731
c6_10,Real estate activities,0.000
c6_11,"Professional, scientific and technical activities",0.287
c6_12,Administrative and support service activities,0.703
c6_13,Other service industries,0.277
c6_14,Travel-related trade,0.612
c6_2,Manufacturing,0.393
c6_3,Construction,0.698
c6_4,Wholesale and motor trades,0.642
c6_5,Retail excluding motor trades,0.516
c6_6,Transportation and storage,0.579
c6_7,Accommodation and food service activities,0.000
c6_8,Information and communication,0.544
c6_9,Financial and insurance activities,0.000
c7,Total service imports,0.426
c7_1,Primary and utilities,0.758
c7_10,Real estate activities,0.559
c7_11,"Professional, scientific and technical activities",0.359
c7_12,Administrative and support service activities,0.528
c7_13,Other service industries,0.282
c7_14,Travel-related trade,0.612
c7_2,Manufacturing,0.649
c7_3,Construction,0.769
c7_4,Wholesale and motor trades,0.460
c7_5,Retail excluding motor trades,0.453
c7_6,Transportation and storage,0.608
c7_7,Accommodation and food service activities,0.516
c7_8,Information and communication,0.376
c7_9,Financial and insurance activities,0.281
c8,Total service imports,0.480
c8_1,Primary and utilities,0.850
c8_10,Real estate activities,0.900
c8_11,"Professional, scientific and technical activities",0.296
c8_12,Administrative and support service activities,0.601
c8_13,Other service industries,0.290
c8_14,Travel-related trade,0.612
c8_2,Manufacturing,0.427
c8_3,Construction,0.714
c8_4,Wholesale and motor trades,0.532
c8_5,Retail excluding motor trades,0.458
c8_6,Transportation and storage,0.581
c8_7,Accommodation and food service activities,0.263
c8_8,Information and communication,0.440
c8_9,Financial and insurance activities,0.326
c9,Total service imports,0.503
c9_1,Primary and utilities,0.849
c9_10,Real estate activities,0.714
c9_11,"Professional, scientific and technical activities",0.381
c9_12,Administrative and support service activities,0.644
c9_13,Other service industries,0.234
c9_14,Travel-related trade,0.612
c9_2,Manufacturing,0.436
c9_3,Construction,0.570
c9_4,Wholesale and motor trades,0.431
c9_5,Retail excluding motor trades,0.456
c9_6,Transportation and storage,0.583
c9_7,Accommodation and food service activities,0.444
c9_8,Information and communication,0.582
c9_9,Financial and insurance activities,0.336
